facet,canon_term,variant_count,n_posts,variant
topic,thrift store shopping,1964,4806,antique decor
topic,thrift store shopping,1964,4806,antique decor cleansing
topic,thrift store shopping,1964,4806,antique decor cleanup
topic,thrift store shopping,1964,4806,antique decor collection
topic,thrift store shopping,1964,4806,antique decor finds
topic,thrift store shopping,1964,4806,antique decor haul
topic,thrift store shopping,1964,4806,antique decor items
topic,thrift store shopping,1964,4806,antique decor makeover
topic,thrift store shopping,1964,4806,antique decor salvage
topic,thrift store shopping,1964,4806,antique decor shopping
topic,thrift store shopping,1964,4806,antique decor vignettes
topic,thrift store shopping,1964,4806,antique dresser makeover
topic,thrift store shopping,1964,4806,antique dresser restoration
topic,thrift store shopping,1964,4806,antique fair shopping
topic,thrift store shopping,1964,4806,antique furniture
topic,thrift store shopping,1964,4806,antique furniture browsing
topic,thrift store shopping,1964,4806,antique furniture find
topic,thrift store shopping,1964,4806,antique furniture resale
topic,thrift store shopping,1964,4806,antique furniture restoration
topic,thrift store shopping,1964,4806,antique furniture sale
topic,thrift store shopping,1964,4806,antique furniture salvage
topic,thrift store shopping,1964,4806,antique furniture shopping
topic,thrift store shopping,1964,4806,antique furniture styling
topic,thrift store shopping,1964,4806,antique furniture thrifting
topic,thrift store shopping,1964,4806,antique haul items
topic,thrift store shopping,1964,4806,antique home decor
topic,thrift store shopping,1964,4806,antique items haul
topic,thrift store shopping,1964,4806,antique mall browsing
topic,thrift store shopping,1964,4806,antique mall business
topic,thrift store shopping,1964,4806,antique mall haul
topic,thrift store shopping,1964,4806,antique mall inventory
topic,thrift store shopping,1964,4806,antique mall inventory sourcing
topic,thrift store shopping,1964,4806,antique mall recommendations
topic,thrift store shopping,1964,4806,antique mall reselling
topic,thrift store shopping,1964,4806,antique mall selling
topic,thrift store shopping,1964,4806,antique mall shopping
topic,thrift store shopping,1964,4806,antique mall sourcing
topic,thrift store shopping,1964,4806,antique market browse
topic,thrift store shopping,1964,4806,antique market browsing
topic,thrift store shopping,1964,4806,antique market haul
topic,thrift store shopping,1964,4806,antique market shopping
topic,thrift store shopping,1964,4806,antique market sourcing
topic,thrift store shopping,1964,4806,antique resale tips
topic,thrift store shopping,1964,4806,antique reselling
topic,thrift store shopping,1964,4806,antique reselling find
topic,thrift store shopping,1964,4806,antique reselling finds
topic,thrift store shopping,1964,4806,antique restoration
topic,thrift store shopping,1964,4806,antique restoration process
topic,thrift store shopping,1964,4806,antique row shopping
topic,thrift store shopping,1964,4806,antique shop browsing
topic,thrift store shopping,1964,4806,antique shop find
topic,thrift store shopping,1964,4806,antique shop finds
topic,thrift store shopping,1964,4806,antique shop haul
topic,thrift store shopping,1964,4806,antique shop opening
topic,thrift store shopping,1964,4806,antique shopping
topic,thrift store shopping,1964,4806,antique shopping finds
topic,thrift store shopping,1964,4806,antique shopping haul
topic,thrift store shopping,1964,4806,antique shopping outing
topic,thrift store shopping,1964,4806,antique shopping recommendation
topic,thrift store shopping,1964,4806,antique shopping tour
topic,thrift store shopping,1964,4806,antique shopping trip
topic,thrift store shopping,1964,4806,antique shop shopping
topic,thrift store shopping,1964,4806,antique shop sourcing
topic,thrift store shopping,1964,4806,antique shop tour
topic,thrift store shopping,1964,4806,antique shop visits
topic,thrift store shopping,1964,4806,antique store browsing
topic,thrift store shopping,1964,4806,antique store finds
topic,thrift store shopping,1964,4806,antique store haul
topic,thrift store shopping,1964,4806,antique store opening
topic,thrift store shopping,1964,4806,antique store retail
topic,thrift store shopping,1964,4806,antique store sale
topic,thrift store shopping,1964,4806,antique store shopping
topic,thrift store shopping,1964,4806,antique store tour
topic,thrift store shopping,1964,4806,antique table restoration
topic,thrift store shopping,1964,4806,baby clothing thrift haul
topic,thrift store shopping,1964,4806,bargain liquidation finds
topic,thrift store shopping,1964,4806,bargain thrift hunting
topic,thrift store shopping,1964,4806,bins clothing thrift haul
topic,thrift store shopping,1964,4806,branded fashion thrift
topic,thrift store shopping,1964,4806,branded thrift finds
topic,thrift store shopping,1964,4806,bridal dress thrift
topic,thrift store shopping,1964,4806,budget dresser restoration
topic,thrift store shopping,1964,4806,budget handbag thrifting
topic,thrift store shopping,1964,4806,budget thrift finds
topic,thrift store shopping,1964,4806,budget thrift haul
topic,thrift store shopping,1964,4806,budget thrift shopping
