facet,canon_term,variant_count,n_posts,variant
audio_kind,ambient,1,442,ambient
audio_kind,direct_speech,1,6012,direct_speech
audio_kind,music_only,1,3879,music_only
audio_kind,silent,1,61,silent
audio_kind,voiceover,1,3263,voiceover
audio_source,licensed_audio,1,3763,licensed_audio
audio_source,original_audio,1,9894,original_audio
brand,1stdib,2,12,1stDibs
brand,1stdib,2,12,1stdibs
brand,3d emblem,1,5,3D Emblem
brand,3m,2,43,3M
brand,3m,2,43,3m
brand,3 musketeer,1,3,3 Musketeers
brand,409,1,8,409
brand,7 eleven,1,18,7-Eleven
brand,7 up,1,3,7 Up
brand,7up,3,45,7UP
brand,7up,3,45,7Up
brand,7up,3,45,7up
brand,abercrombie,3,46,ABERCROMBIE
brand,abercrombie,3,46,Abercrombie
brand,abercrombie,3,46,abercrombie
brand,abercrombie and fitch,3,7,ABERCROMBIE AND FITCH
brand,abercrombie and fitch,3,7,Abercrombie And Fitch
brand,abercrombie and fitch,3,7,Abercrombie and Fitch
brand,abercrombie fitch,4,104,ABERCROMBIE & FITCH
brand,abercrombie fitch,4,104,ABERCROMBIE FITCH
brand,abercrombie fitch,4,104,Abercrombie & Fitch
brand,abercrombie fitch,4,104,abercrombie & fitch
brand,academy,1,3,Academy
brand,academy sports outdoor,1,4,Academy Sports + Outdoors
brand,acclaim,1,9,Acclaim
brand,acdc,1,8,AC/DC
brand,acdelco,1,3,ACDelco
brand,ace,2,15,ACE
brand,ace,2,15,Ace
brand,acer,2,14,Acer
brand,acer,2,14,acer
brand,acne studio,1,6,Acne Studios
brand,act,2,32,ACT
brand,act,2,32,Act
brand,activia,2,8,ACTIVIA
brand,activia,2,8,Activia
brand,activision,2,26,ACTIVISION
brand,activision,2,26,Activision
brand,ad,3,6,A&D
brand,ad,3,6,A+D
brand,ad,3,6,ADS
brand,adida,3,208,ADIDAS
brand,adida,3,208,Adidas
brand,adida,3,208,adidas
brand,adt,1,3,ADT
brand,advil,1,15,Advil
brand,ae,2,5,AE
brand,ae,2,5,ae
brand,aerie,2,56,Aerie
brand,aerie,2,56,aerie
brand,aero,3,17,AERO
brand,aero,3,17,Aero
brand,aero,3,17,aero
brand,aeropostale,3,54,AEROPOSTALE
brand,aeropostale,3,54,Aeropostale
brand,aeropostale,3,54,aeropostale
brand,aéropostale,3,33,AÉROPOSTALE
brand,aéropostale,3,33,Aéropostale
brand,aéropostale,3,33,aéropostale
brand,aerosmith,1,4,Aerosmith
brand,af,1,6,A&F
brand,affliction,2,11,AFFLICTION
brand,affliction,2,11,Affliction
brand,afterburn,1,4,AfterBurn
brand,afterpay,1,8,Afterpay
brand,agolde,2,7,AGOLDE
brand,agolde,2,7,Agolde
brand,aim,1,4,Aim
brand,airbnb,1,4,Airbnb
brand,airborne,1,3,Airborne
brand,airboss,1,3,airBOSS
brand,airhead,3,29,AIRHEADS
brand,airhead,3,29,Airhead
brand,airhead,3,29,Airheads
brand,airheads xtreme,1,3,Airheads Xtremes
brand,air jordan,2,17,Air Jordan
brand,air jordan,2,17,Air Jordans
brand,airpod,1,3,AirPods
brand,airwair,1,3,AirWair
brand,airwalk,2,3,AIRWALK
brand,airwalk,2,3,Airwalk
brand,air wick,3,167,AIR WICK
brand,air wick,3,167,Air Wick
brand,air wick,3,167,air wick
brand,airwick,1,3,Airwick
brand,aisle,1,11,Aisle
brand,ajax,2,92,AJAX
brand,ajax,2,92,Ajax
brand,akira,2,5,AKIRA
brand,akira,2,5,Akira
brand,alabama,1,3,Alabama
brand,alani,2,16,ALANI
brand,alani,2,16,Alani
brand,alani nu,1,8,Alani Nu
brand,albertson,1,3,Albertsons
brand,alc,1,5,A.L.C.
brand,aldi,2,50,ALDI
brand,aldi,2,50,Aldi
brand,aldo,2,7,ALDO
brand,aldo,2,7,Aldo
brand,aleve,1,6,Aleve
brand,alexa,2,3,Alexa
brand,alexa,2,3,alexa
brand,alexander mcqueen,1,7,Alexander McQueen
brand,alice olivia,2,6,Alice + Olivia
brand,alice olivia,2,6,alice + olivia
brand,aliexpress,1,6,AliExpress
brand,alka seltzer,1,4,Alka-Seltzer
brand,all,2,69,All
brand,all,2,69,all
brand,all clad,1,5,All-Clad
brand,allegra,1,17,Allegra
brand,all in motion,3,6,All In Motion
brand,all in motion,3,6,All in Motion
brand,all in motion,3,6,all in motion
brand,allsaint,2,6,ALLSAINTS
brand,allsaint,2,6,AllSaints
brand,alo,3,40,ALO
brand,alo,3,40,Alo
brand,alo,3,40,alo
brand,alo yoga,1,3,Alo Yoga
brand,alpine,1,4,Alpine
brand,altard state,2,8,ALTAR'D STATE
brand,altard state,2,8,Altar'd State
brand,alterna,2,3,ALTERNA
brand,alterna,2,3,Alterna
brand,altoid,2,5,ALTOIDS
brand,altoid,2,5,Altoids
brand,alway,2,55,Always
brand,alway,2,55,always
brand,always discreet,1,4,Always Discreet
brand,amazon,3,259,AMAZON
brand,amazon,3,259,Amazon
brand,amazon,3,259,amazon
brand,amazon basic,1,4,Amazon Basics
brand,amazon prime,1,9,Amazon Prime
brand,amber glow,2,5,Amber Glow
brand,amber glow,2,5,amber glow
brand,amberglow,2,7,Amberglow
brand,amberglow,2,7,amberglow
brand,amc,1,6,AMC
brand,american craft,2,4,AMERICAN CRAFTS
brand,american craft,2,4,American Crafts
brand,american drew,2,4,AMERICAN DREW
brand,american drew,2,4,American Drew
brand,american eagle,3,79,AMERICAN EAGLE
brand,american eagle,3,79,American Eagle
brand,american eagle,3,79,American eagle
brand,american eagle outfitter,2,26,AMERICAN EAGLE OUTFITTERS
brand,american eagle outfitter,2,26,American Eagle Outfitters
brand,american express,2,9,AMERICAN EXPRESS
brand,american express,2,9,American Express
brand,american girl,1,14,American Girl
brand,american seed,1,8,American Seed
brand,ameriga,1,5,AmeriGas
brand,amg,1,4,AMG
brand,amika,2,3,amika
brand,amika,2,3,amika:
brand,amiri,2,5,AMIRI
brand,amiri,2,5,Amiri
brand,amo,2,6,AMO
brand,amo,2,6,Amos
brand,amz,1,4,AMZ
brand,anastasia beverly hill,3,9,ANASTASIA BEVERLY HILLS
brand,anastasia beverly hill,3,9,ANASTASIA Beverly Hills
brand,anastasia beverly hill,3,9,Anastasia Beverly Hills
brand,anchor blue,1,4,Anchor Blue
brand,anchor hocking,1,12,Anchor Hocking
brand,android,1,6,Android
brand,angel,3,4,ANGELS
brand,angel,3,4,Angels
brand,angel,3,4,angels
brand,angel soft,2,98,Angel Soft
brand,angel soft,2,98,Angel soft
brand,angie,2,3,ANGIE
brand,angie,2,3,Angie
brand,angies boomchickapop,1,3,Angie's BOOMCHICKAPOP
brand,animal crossing,1,4,Animal Crossing
brand,anine bing,2,4,ANINE BING
brand,anine bing,2,4,Anine Bing
brand,anne klein,2,10,ANNE KLEIN
brand,anne klein,2,10,Anne Klein
brand,ann taylor,2,7,ANN TAYLOR
brand,ann taylor,2,7,Ann Taylor
brand,ann taylor loft,1,3,Ann Taylor Loft
brand,anny,1,10,Annie's
brand,anthropologie,3,54,ANTHROPOLOGIE
brand,anthropologie,3,54,Anthropologie
brand,anthropologie,3,54,anthropologie
brand,anvil,1,5,Anvil
brand,aphmau,1,3,Aphmau
brand,applause,1,3,Applause
brand,apple,1,95,Apple
brand,apple bottom,2,5,APPLE BOTTOMS
brand,apple bottom,2,5,Apple Bottoms
brand,apple pay,1,18,Apple Pay
brand,apple tv,1,3,Apple TV
brand,apt 9,2,6,Apt. 9
brand,apt 9,2,6,apt. 9
brand,aquafina,1,4,Aquafina
brand,aquaphor,1,12,Aquaphor
brand,arcteryx,3,17,ARC'TERYX
brand,arcteryx,3,17,Arc'teryx
brand,arcteryx,3,17,Arcteryx
brand,ardell,2,7,ARDELL
brand,ardell,2,7,Ardell
brand,argu,2,5,Argus
brand,argu,2,5,argus
brand,ariana grande,3,11,ARIANA GRANDE
brand,ariana grande,3,11,Ariana Grande
brand,ariana grande,3,11,ariana grande
brand,ariat,2,22,ARIAT
brand,ariat,2,22,Ariat
brand,ariel,1,16,Ariel
brand,aritzia,2,31,ARITZIA
brand,aritzia,2,31,Aritzia
brand,arizona,3,23,ARIZONA
brand,arizona,3,23,AriZona
brand,arizona,3,23,Arizona
brand,arko,2,3,ARKO
brand,arko,2,3,Arko
brand,armaf,2,4,ARMAF
brand,armaf,2,4,Armaf
brand,armani,1,5,Armani
brand,armani collezioni,1,3,Armani Collezioni
brand,armani exchange,2,4,ARMANI EXCHANGE
brand,armani exchange,2,4,Armani Exchange
brand,arm hammer,2,191,ARM & HAMMER
brand,arm hammer,2,191,Arm & Hammer
brand,armour,1,6,Armour
brand,arrowaste,1,6,Arrowaste
brand,asda,2,4,ASDA
brand,asda,2,4,Asda
brand,ashland,2,12,ASHLAND
brand,ashland,2,12,Ashland
brand,ashley belle,2,10,Ashley Belle
brand,ashley belle,2,10,ashley belle
brand,asic,3,18,ASICS
brand,asic,3,18,Asics
brand,asic,3,18,asics
brand,astepro,2,4,ASTEPRO
brand,astepro,2,4,Astepro
brand,asu,2,10,ASUS
brand,asu,2,10,Asus
brand,atari,2,20,ATARI
brand,atari,2,20,Atari
brand,athleta,2,42,ATHLETA
brand,athleta,2,42,Athleta
brand,athletic work,1,6,Athletic Works
brand,atla,1,7,Atlas
brand,atlanta brave,1,4,Atlanta Braves
brand,att,1,10,AT&T
brand,auntie anne,1,4,Auntie Anne's
brand,aussie,2,64,Aussie
brand,aussie,2,64,aussie
brand,authority,1,4,Authority
brand,aveeno,1,55,Aveeno
brand,avenger,2,4,Avengers
brand,avenger,2,4,The Avengers
brand,avery,2,4,AVERY
brand,avery,2,4,Avery
brand,avia,1,6,Avia
brand,aviator nation,2,21,Aviator Nation
brand,aviator nation,2,21,aviator nation
brand,avon,2,25,AVON
brand,avon,2,25,Avon
brand,aw,1,34,A&W
brand,axe,2,182,AXE
brand,axe,2,182,Axe
brand,azzaro,2,6,AZZARO
brand,azzaro,2,6,Azzaro
brand,babaton,2,12,BABATON
brand,babaton,2,12,Babaton
brand,baby gap,1,3,Baby Gap
brand,babylisspro,1,14,BaBylissPRO
brand,baby phat,2,12,Baby Phat
brand,baby phat,2,12,baby phat
brand,baby ruth,1,4,Baby Ruth
brand,baby trend,2,3,Baby Trend
brand,baby trend,2,3,baby trend
brand,bacardi,2,3,BACARDI
brand,bacardi,2,3,Bacardi
brand,bake shop,1,6,Bake Shop
brand,balenciaga,2,13,BALENCIAGA
brand,balenciaga,2,13,Balenciaga
brand,ball,1,4,Ball
brand,bally,2,5,Bally
brand,bally,2,5,Bally's
brand,banana boat,1,9,Banana Boat
brand,banana republic,2,29,BANANA REPUBLIC
brand,banana republic,2,29,Banana Republic
brand,bandai,2,9,BANDAI
brand,bandai,2,9,Bandai
brand,band aid,2,10,BAND-AID
brand,band aid,2,10,Band-Aid
brand,bankers box,2,16,BANKERS BOX
brand,bankers box,2,16,Bankers Box
brand,banquet,1,8,Banquet
brand,banza,1,3,Banza
brand,bape,2,9,BAPE
brand,bape,2,9,Bape
brand,barbasol,1,6,Barbasol
brand,barbers edge,2,3,BARBERS EDGE
brand,barbers edge,2,3,Barber's Edge
brand,barbie,1,70,Barbie
brand,baremineral,1,9,bareMinerals
brand,barilla,1,12,Barilla
brand,barissimo,1,3,Barissimo
brand,bar keepers friend,3,21,BAR KEEPERS FRIEND
brand,bar keepers friend,3,21,Bar Keeper's Friend
brand,bar keepers friend,3,21,Bar Keepers Friend
brand,barnes noble,1,12,Barnes & Noble
brand,barq,1,9,Barq's
brand,basic edition,2,5,BASIC EDITIONS
brand,basic edition,2,5,Basic Editions
brand,bassett,1,10,Bassett
brand,bass jaxx,1,3,BASS JAXX
brand,bass pro shop,1,7,Bass Pro Shops
brand,bath and body work,2,6,Bath and Body Works
brand,bath and body work,2,6,bath and body works
brand,bath body work,2,117,BATH & BODY WORKS
brand,bath body work,2,117,Bath & Body Works
brand,bathing ape,3,10,A BATHING APE
brand,bathing ape,3,10,A Bathing Ape
brand,bathing ape,3,10,a bathing ape
brand,batman,2,14,BATMAN
brand,batman,2,14,Batman
brand,bauer,1,10,Bauer
brand,bayer,2,8,BAYER
brand,bayer,2,8,Bayer
brand,bbc,1,3,BBC
brand,bcbg,2,9,BCBG
brand,bcbg,2,9,bcbg
brand,bcbgmaxazria,1,4,BCBGMAXAZRIA
brand,bdg,1,9,BDG
brand,beat,1,6,Beats
brand,beatle,2,4,BEATLES
brand,beatle,2,4,The Beatles
brand,bebe,2,28,Bebe
brand,bebe,2,28,bebe
brand,beckett,1,4,Beckett
brand,beech nut,1,11,Beech-Nut
brand,befrugal,1,8,BeFrugal
brand,behr,2,48,BEHR
brand,behr,2,48,Behr
brand,beko,2,4,Beko
brand,beko,2,4,beko
brand,believe,1,6,Believe
brand,believe beauty,1,11,Believe Beauty
brand,belkin,2,5,Belkin
brand,belkin,2,5,belkin
brand,bella,3,6,BELLA
brand,bella,3,6,Bella
brand,bella,3,6,bella
brand,bellhowell,2,4,BELL+HOWELL
brand,bellhowell,2,4,Bell+Howell
brand,benadryl,1,12,Benadryl
brand,benefit,2,7,Benefit
brand,benefit,2,7,benefit
brand,benjamin moore,1,3,Benjamin Moore
brand,ben jerry,2,8,Ben & Jerry
brand,ben jerry,2,8,Ben & Jerry's
brand,bentley,1,3,Bentley
brand,berenstain bear,1,3,Berenstain Bears
brand,berryhill,1,3,Berryhill
brand,bertolli,1,3,Bertolli
brand,best buy,1,10,Best Buy
brand,best choice,1,3,Best Choice
brand,best food,1,4,Best Foods
brand,bestway,1,9,Bestway
brand,betsey johnson,1,12,Betsey Johnson
brand,betseyville,1,3,Betseyville
brand,bettergood,1,4,bettergoods
brand,better homes and garden,1,7,Better Homes and Gardens
brand,better homes garden,1,13,Better Homes & Gardens
brand,betty boop,2,13,BETTY BOOP
brand,betty boop,2,13,Betty Boop
brand,betty crocker,1,35,Betty Crocker
brand,beverly hills polo club,2,4,BEVERLY HILLS POLO CLUB
brand,beverly hills polo club,2,4,Beverly Hills Polo Club
brand,bibigo,2,3,Bibigo
brand,bibigo,2,3,bibigo
brand,bic,3,69,BIC
brand,bic,3,69,BiC
brand,bic,3,69,Bic
brand,biffa,1,25,Biffa
brand,big,1,3,BIGS
brand,big dog,3,7,BIG DOGS
brand,big dog,3,7,Big Dogs
brand,big dog,3,7,The Big Dogs
brand,big lot,2,3,BIG LOTS
brand,big lot,2,3,Big Lots
brand,big mouth billy bass,2,3,BIG MOUTH BILLY BASS
brand,big mouth billy bass,2,3,Big Mouth Billy Bass
brand,big red,1,14,Big Red
brand,bill,1,4,Bills
brand,billabong,3,25,BILLABONG
brand,billabong,3,25,Billabong
brand,billabong,3,25,billabong
brand,billboard,2,15,Billboard
brand,billboard,2,15,billboard
brand,billie,2,4,Billie
brand,billie,2,4,billie
brand,bimbo,1,4,Bimbo
brand,bino,1,4,BINO
brand,biofreeze,2,3,BIOFREEZE
brand,biofreeze,2,3,Biofreeze
brand,bio ionic,1,3,BIO IONIC
brand,biomiracle,1,3,BioMiracle
brand,biopure,2,12,biopure
brand,biopure,2,12,biopure.
brand,biore,1,4,Biore
brand,birds eye,2,10,BIRDS EYE
brand,birds eye,2,10,Birds Eye
brand,birkenstock,3,19,BIRKENSTOCK
brand,birkenstock,3,19,Birkenstock
brand,birkenstock,3,19,Birkenstocks
brand,bissell,2,23,BISSELL
brand,bissell,2,23,Bissell
brand,black and decker,2,4,Black and Decker
brand,black and decker,2,4,Black and decker
brand,blackberry,2,5,BlackBerry
brand,blackberry,2,5,Blackberry
brand,black decker,2,6,BLACK & DECKER
brand,black decker,2,6,Black & Decker
brand,blackdecker,3,18,BLACK&DECKER
brand,blackdecker,3,18,BLACK+DECKER
brand,blackdecker,3,18,Black+Decker
brand,black rifle coffee company,1,3,Black Rifle Coffee Company
brand,blackstone,2,8,BLACKSTONE
brand,blackstone,2,8,Blackstone
brand,blink,1,4,Blink
brand,blistex,1,3,Blistex
brand,blockbuster,2,7,BLOCKBUSTER
brand,blockbuster,2,7,Blockbuster
brand,bloom,1,12,Bloom
brand,blue,1,3,Blue
brand,blue bonnet,1,4,Blue Bonnet
brand,blue buffalo,1,8,Blue Buffalo
brand,blue diamond,2,4,BLUE DIAMOND
brand,blue diamond,2,4,Blue Diamond
brand,blue hawk,1,3,Blue Hawk
brand,blue rhino,1,4,Blue Rhino
brand,bluetooth,1,3,Bluetooth
brand,bluey,2,39,BLUEY
brand,bluey,2,39,Bluey
brand,bmw,1,6,BMW
brand,boars head,1,4,Boar's Head
brand,bobbie brook,2,21,Bobbie Brooks
brand,bobbie brook,2,21,bobbie brooks
brand,bob evan,1,3,Bob Evans
brand,bobs red mill,1,3,Bob's Red Mill
brand,boden,1,5,Boden
brand,bodyarmor,3,14,BODYARMOR
brand,bodyarmor,3,14,BodyArmor
brand,bodyarmor,3,14,Bodyarmor
brand,bodyform,1,4,Bodyform
brand,bogg,1,3,bogg
brand,bomba,2,4,BOMBAS
brand,bomba,2,4,Bombas
brand,bona,1,7,Bona
brand,bondo,2,50,Bondo
brand,bondo,2,50,bondo
brand,bongo,3,9,BONGO
brand,bongo,3,9,Bongo
brand,bongo,3,9,bongo
brand,boost,2,10,BOOST
brand,boost,2,10,Boost
brand,bosch,2,24,BOSCH
brand,bosch,2,24,Bosch
brand,bose,2,14,BOSE
brand,bose,2,14,Bose
brand,boss,2,19,BOSS
brand,boss,2,19,Boss
brand,bostitch,2,4,BOSTITCH
brand,bostitch,2,4,Bostitch
brand,bounce,1,72,Bounce
brand,bounty,1,159,Bounty
brand,b pure,4,20,B PURE
brand,b pure,4,20,b pure
brand,b pure,4,20,b-pure
brand,b pure,4,20,b-pure+
brand,bpure,5,23,Bpure
brand,bpure,5,23,b.pure
brand,bpure,5,23,b.pure+
brand,bpure,5,23,bpure
brand,bpure,5,23,b•pure
brand,brami,2,5,BRAMI
brand,brami,2,5,Brami
brand,brandy,2,12,Brandy
brand,brandy,2,12,brandy
brand,brandy melville,4,36,BRANDY MELVILLE
brand,brandy melville,4,36,Brandy Melville
brand,brandy melville,4,36,brandy Melville
brand,brandy melville,4,36,brandy melville
brand,brasso,1,7,Brasso
brand,bratz,2,14,BRATZ
brand,bratz,2,14,Bratz
brand,braun,3,4,BRAUN
brand,braun,3,4,Braun
